# Run number 21 on Tue May 21 11:59:15 2024
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 3.0173E-01    4.6100E+01    5.3902E+01    2.0176E+01    1.6510E+01    1.5522E+01    7.2728E+01    5.0335E+01    1.4928E+01    4.5090E+00    1.6053E+01    1.5462E+01    1.0324E+01   
 1.4631E+00    4.6072E+01    5.3894E+01    1.9997E+01    1.6567E+01    1.5067E+01    7.2720E+01    5.0329E+01    1.4945E+01    4.4886E+00    1.6033E+01    1.5036E+01    1.0289E+01   
 2.5592E+00    4.6084E+01    5.3917E+01    2.0068E+01    1.6541E+01    1.4583E+01    7.2719E+01    5.0330E+01    1.4902E+01    4.5090E+00    1.5992E+01    1.5097E+01    1.0253E+01   
 3.6553E+00    4.6060E+01    5.3910E+01    2.0228E+01    1.6545E+01    1.4242E+01    7.2723E+01    5.0298E+01    1.4909E+01    4.5090E+00    1.6053E+01    1.5499E+01    1.0324E+01   
 4.7506E+00    4.6038E+01    5.3928E+01    2.0237E+01    1.6560E+01    1.4059E+01    7.2711E+01    5.0269E+01    1.4889E+01    4.4683E+00    1.6114E+01    1.5109E+01    1.0324E+01   
 5.8468E+00    4.6037E+01    5.3925E+01    2.0160E+01    1.6580E+01    1.3782E+01    7.2723E+01    5.0239E+01    1.4874E+01    4.4886E+00    1.6237E+01    1.5060E+01    1.0253E+01   
 6.9439E+00    4.6048E+01    5.3960E+01    2.0318E+01    1.6503E+01    1.3562E+01    7.2705E+01    5.0192E+01    1.4820E+01    4.4683E+00    1.6278E+01    1.5340E+01    1.0289E+01   
 8.0401E+00    4.6042E+01    5.3978E+01    2.0210E+01    1.6515E+01    1.3346E+01    7.2631E+01    5.0136E+01    1.4787E+01    4.4275E+00    1.6094E+01    1.5365E+01    1.0324E+01   
 9.1353E+00    4.6040E+01    5.4017E+01    2.0063E+01    1.6532E+01    1.3269E+01    7.2567E+01    5.0041E+01    1.4720E+01    4.4479E+00    1.6135E+01    1.5060E+01    1.0253E+01   
 1.0231E+01    4.6050E+01    5.4030E+01    1.9874E+01    1.6498E+01    1.3150E+01    7.2515E+01    5.0015E+01    1.4660E+01    4.4275E+00    1.6237E+01    1.5572E+01    1.0289E+01   
 1.1322E+01    4.6054E+01    5.4069E+01    1.9908E+01    1.6480E+01    1.3009E+01    7.2446E+01    4.9860E+01    1.4594E+01    4.4071E+00    1.6176E+01    1.5158E+01    1.0253E+01   
 1.2417E+01    4.6060E+01    5.4084E+01    1.9872E+01    1.6473E+01    1.2910E+01    7.2403E+01    4.9787E+01    1.4562E+01    4.4071E+00    1.6135E+01    1.5036E+01    1.0324E+01   
 1.3506E+01    4.6078E+01    5.4114E+01    1.9741E+01    1.6413E+01    1.2841E+01    7.2363E+01    4.9738E+01    1.4502E+01    4.4071E+00    1.6318E+01    1.5048E+01    1.0253E+01   
