# Run number 02 on Wed May 22 15:29:11 2024
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 3.1853E-01    3.0932E+01    3.6921E+01    1.9398E+01    1.5013E+01    1.5794E+01    5.2025E+01    3.4661E+01    1.2854E+01    4.1167E+00    1.0643E+01    1.2362E+01    1.3835E+01   
 1.4639E+00    3.0955E+01    3.6925E+01    1.9480E+01    1.5000E+01    1.5779E+01    5.2045E+01    3.4664E+01    1.2852E+01    4.1167E+00    1.0582E+01    1.2448E+01    1.3887E+01   
 2.5500E+00    3.0958E+01    3.6944E+01    1.9524E+01    1.5039E+01    1.5784E+01    5.2066E+01    3.4700E+01    1.2851E+01    4.1167E+00    1.0562E+01    1.2472E+01    1.3965E+01   
 3.6701E+00    3.0971E+01    3.6946E+01    1.9405E+01    1.5021E+01    1.5798E+01    5.2132E+01    3.4711E+01    1.2838E+01    4.1167E+00    1.0602E+01    1.2215E+01    1.3939E+01   
 4.7593E+00    3.1000E+01    3.6986E+01    1.9481E+01    1.4992E+01    1.5795E+01    5.2145E+01    3.4754E+01    1.2848E+01    4.1167E+00    1.0664E+01    1.2190E+01    1.3861E+01   
 5.8474E+00    3.1014E+01    3.7014E+01    1.9426E+01    1.5022E+01    1.5785E+01    5.2182E+01    3.4748E+01    1.2897E+01    4.0760E+00    1.0582E+01    1.2460E+01    1.3913E+01   
 6.9346E+00    3.1043E+01    3.7032E+01    1.9374E+01    1.5026E+01    1.5798E+01    5.2239E+01    3.4796E+01    1.2925E+01    4.1167E+00    1.0623E+01    1.2154E+01    1.3861E+01   
 8.0228E+00    3.1068E+01    3.7036E+01    1.9215E+01    1.5027E+01    1.5782E+01    5.2287E+01    3.4828E+01    1.2906E+01    4.1167E+00    1.0684E+01    1.2190E+01    1.3887E+01   
 9.1119E+00    3.1060E+01    3.7047E+01    1.9137E+01    1.5039E+01    1.5796E+01    5.2303E+01    3.4856E+01    1.2926E+01    4.1167E+00    1.0602E+01    1.2497E+01    1.3835E+01   
 1.0200E+01    3.1091E+01    3.7067E+01    1.9224E+01    1.5021E+01    1.5807E+01    5.2340E+01    3.4879E+01    1.2952E+01    4.1371E+00    1.0623E+01    1.2411E+01    1.3835E+01   
 1.1281E+01    3.1089E+01    3.7062E+01    1.9538E+01    1.5001E+01    1.5802E+01    5.2384E+01    3.4904E+01    1.2950E+01    4.1167E+00    1.0602E+01    1.2166E+01    1.3887E+01   
 1.2369E+01    3.1138E+01    3.7086E+01    1.9425E+01    1.5029E+01    1.5785E+01    5.2405E+01    3.4932E+01    1.2954E+01    4.0964E+00    1.0664E+01    1.2423E+01    1.3887E+01   
 1.3456E+01    3.1144E+01    3.7127E+01    1.9359E+01    1.5041E+01    1.5808E+01    5.2453E+01    3.4964E+01    1.2992E+01    4.1167E+00    1.0664E+01    1.2203E+01    1.3887E+01   
 1.4538E+01    3.1165E+01    3.7125E+01    1.9237E+01    1.5016E+01    1.5799E+01    5.2492E+01    3.4983E+01    1.3006E+01    4.1167E+00    1.0725E+01    1.2166E+01    1.3835E+01   
 1.5624E+01    3.1179E+01    3.7157E+01    1.9167E+01    1.5015E+01    1.5810E+01    5.2523E+01    3.5019E+01    1.3035E+01    4.1167E+00    1.0684E+01    1.2387E+01    1.3835E+01   
 1.6712E+01    3.1205E+01    3.7183E+01    1.9201E+01    1.4977E+01    1.5796E+01    5.2539E+01    3.5039E+01    1.3050E+01    4.0964E+00    1.0643E+01    1.2178E+01    1.3861E+01   
 1.7795E+01    3.1234E+01    3.7203E+01    1.9240E+01    1.5011E+01    1.5792E+01    5.2559E+01    3.5028E+01    1.3028E+01    4.1575E+00    1.0664E+01    1.2362E+01    1.3861E+01   
 1.8881E+01    3.1230E+01    3.7215E+01    1.9193E+01    1.5020E+01    1.5772E+01    5.2585E+01    3.5027E+01    1.2990E+01    4.1371E+00    1.0664E+01    1.2178E+01    1.3887E+01   
 1.9970E+01    3.1264E+01    3.7238E+01    1.9242E+01    1.5003E+01    1.5752E+01    5.2567E+01    3.5024E+01    1.2983E+01    4.1167E+00    1.0745E+01    1.2227E+01    1.3808E+01   
 2.1050E+01    3.1275E+01    3.7267E+01    1.9357E+01    1.4988E+01    1.5728E+01    5.2567E+01    3.5056E+01    1.2978E+01    4.1167E+00    1.0684E+01    1.2546E+01    1.3808E+01   
 2.2138E+01    3.1290E+01    3.7285E+01    1.9337E+01    1.4951E+01    1.5728E+01    5.2566E+01    3.5057E+01    1.2973E+01    4.1167E+00    1.0766E+01    1.2264E+01    1.3887E+01   
 2.3226E+01    3.1305E+01    3.7301E+01    1.9435E+01    1.5004E+01    1.5727E+01    5.2587E+01    3.5069E+01    1.2964E+01    4.1371E+00    1.0704E+01    1.2288E+01    1.3861E+01   
 2.4313E+01    3.1288E+01    3.7294E+01    1.9538E+01    1.4947E+01    1.5712E+01    5.2599E+01    3.5092E+01    1.2976E+01    4.1167E+00    1.0684E+01    1.2546E+01    1.3887E+01   
 2.5401E+01    3.1294E+01    3.7293E+01    1.9544E+01    1.4981E+01    1.5688E+01    5.2610E+01    3.5089E+01    1.2954E+01    4.1371E+00    1.0766E+01    1.2227E+01    1.3887E+01   
 2.6484E+01    3.1285E+01    3.7303E+01    1.9362E+01    1.4985E+01    1.5666E+01    5.2640E+01    3.5096E+01    1.2935E+01    4.1371E+00    1.0704E+01    1.2239E+01    1.3913E+01   
 2.7570E+01    3.1273E+01    3.7314E+01    1.9290E+01    1.4956E+01    1.5634E+01    5.2646E+01    3.5106E+01    1.2927E+01    4.1167E+00    1.0766E+01    1.2190E+01    1.3939E+01   
 2.8660E+01    3.1304E+01    3.7351E+01    1.9248E+01    1.5022E+01    1.5604E+01    5.2672E+01    3.5135E+01    1.2978E+01    4.1167E+00    1.0684E+01    1.2522E+01    1.3808E+01   
 2.9746E+01    3.1321E+01    3.7343E+01    1.9267E+01    1.4981E+01    1.5567E+01    5.2714E+01    3.5161E+01    1.2960E+01    4.1167E+00    1.0725E+01    1.2362E+01    1.3835E+01   
 3.0835E+01    3.1330E+01    3.7358E+01    1.9281E+01    1.4929E+01    1.5563E+01    5.2743E+01    3.5206E+01    1.2993E+01    4.1371E+00    1.0786E+01    1.2190E+01    1.3861E+01   
 3.1923E+01    3.1345E+01    3.7359E+01    1.9193E+01    1.4925E+01    1.5513E+01    5.2737E+01    3.5173E+01    1.2937E+01    4.1167E+00    1.0725E+01    1.2472E+01    1.3835E+01   
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 3.3028E+01    3.1400E+01    3.7403E+01    1.9193E+01    1.4947E+01    1.5475E+01    5.2735E+01    3.5211E+01    1.2921E+01    4.1575E+00    1.0684E+01    1.2215E+01    1.3887E+01   
 3.4124E+01    3.1453E+01    3.7425E+01    1.9230E+01    1.5017E+01    1.5458E+01    5.2756E+01    3.5228E+01    1.2926E+01    4.1167E+00    1.0725E+01    1.2448E+01    1.3887E+01   
 3.5253E+01    3.1511E+01    3.7459E+01    1.9279E+01    1.4987E+01    1.5437E+01    5.2787E+01    3.5243E+01    1.2907E+01    4.1167E+00    1.0704E+01    1.2571E+01    1.3939E+01   
 3.6349E+01    3.1519E+01    3.7439E+01    1.9230E+01    1.4922E+01    1.5411E+01    5.2785E+01    3.5256E+01    1.2890E+01    4.1371E+00    1.0827E+01    1.2558E+01    1.3887E+01   
 3.7430E+01    3.1525E+01    3.7487E+01    1.9272E+01    1.4937E+01    1.5372E+01    5.2821E+01    3.5276E+01    1.2927E+01    4.1371E+00    1.0745E+01    1.2448E+01    1.3887E+01   
 3.8515E+01    3.1554E+01    3.7530E+01    1.9327E+01    1.4948E+01    1.5370E+01    5.2839E+01    3.5255E+01    1.2933E+01    4.1167E+00    1.0806E+01    1.2239E+01    1.3835E+01   
 3.9597E+01    3.1561E+01    3.7545E+01    1.9419E+01    1.4926E+01    1.5338E+01    5.2860E+01    3.5292E+01    1.2947E+01    4.1167E+00    1.0766E+01    1.2350E+01    1.3913E+01   
 4.0693E+01    3.1588E+01    3.7575E+01    1.9306E+01    1.5005E+01    1.5339E+01    5.2862E+01    3.5319E+01    1.2951E+01    4.1371E+00    1.0766E+01    1.2227E+01    1.3913E+01   
 4.1781E+01    3.1600E+01    3.7594E+01    1.9303E+01    1.4956E+01    1.5317E+01    5.2906E+01    3.5316E+01    1.2933E+01    4.1371E+00    1.0786E+01    1.2239E+01    1.3861E+01   
 4.2870E+01    3.1622E+01    3.7615E+01    1.9326E+01    1.4985E+01    1.5300E+01    5.2941E+01    3.5329E+01    1.2924E+01    4.1371E+00    1.0745E+01    1.2252E+01    1.3861E+01   
 4.3950E+01    3.1623E+01    3.7635E+01    1.9344E+01    1.5009E+01    1.5302E+01    5.2962E+01    3.5341E+01    1.2935E+01    4.1371E+00    1.0868E+01    1.2472E+01    1.3887E+01   
 4.5037E+01    3.1635E+01    3.7648E+01    1.9349E+01    1.5011E+01    1.5287E+01    5.2970E+01    3.5359E+01    1.2949E+01    4.1371E+00    1.0745E+01    1.2509E+01    1.3887E+01   
